purchase_id,customer_id,product_id,purchase_date,quantity,total_price
PU0000074,C00008,P00018,2022-11-17,1,29.41
PU0000075,C00008,P00023,2021-07-13,1,39.51
PU0000076,C00008,P00044,2020-06-25,2,400.84
PU0000077,C00008,P00036,2022-02-09,3,354.62
PU0000078,C00008,P00005,2022-09-05,2,134.47
PU0000079,C00008,P00033,2022-09-24,3,321.52
PU0000080,C00008,P00016,2021-04-28,1,51.32
PU0000081,C00008,P00015,2021-12-29,3,127.49
PU0000082,C00009,P00041,2023-11-26,3,71.45
PU0000083,C00010,P00043,2025-04-17,1,336.31
PU0000084,C00010,P00014,2023-04-25,4,159.69
PU0000085,C00010,P00010,2024-06-01,2,116.09
PU0000086,C00010,P00036,2025-05-01,2,244.13
PU0000087,C00010,P00033,2023-01-09,3,349.62
PU0000088,C00010,P00042,2025-01-23,4,411.68
PU0000089,C00010,P00016,2024-05-02,4,204.38
PU0000090,C00010,P00027,2023-08-07,1,92.29
PU0000091,C00010,P00050,2024-01-12,2,72.04
PU0000092,C00010,P00050,2023-05-14,1,36.3
PU0000093,C00010,P00023,2024-01-14,2,96.29
PU0000094,C00010,P00026,2025-07-16,3,219.38
PU0000095,C00010,P00037,2023-04-21,3,237.71
PU0000096,C00010,P00041,2023-12-30,4,108.66
PU0000097,C00010,P00033,2024-08-14,4,400.25
PU0000098,C00010,P00002,2023-10-14,1,35.63
PU0000099,C00010,P00024,2024-08-06,4,599.39
PU0000100,C00010,P00053,2025-01-22,4,690.41
PU0000101,C00011,P00021,2023-03-22,2,29.71
PU0000102,C00011,P00024,2023-01-06,1,151.67
PU0000103,C00011,P00042,2022-10-08,4,413.35
PU0000104,C00011,P00018,2022-11-10,1,25.11
PU0000105,C00011,P00029,2023-06-04,4,373.96
PU0000106,C00011,P00020,2022-06-10,4,495.58
PU0000107,C00011,P00044,2022-02-19,1,222.86
PU0000108,C00011,P00015,2024-02-12,1,40.17
PU0000109,C00011,P00026,2024-01-03,2,135.36
PU0000110,C00011,P00026,2023-04-16,4,258.87
PU0000111,C00011,P00032,2023-04-23,3,273.04
PU0000112,C00012,P00019,2021-08-05,4,145.37
PU0000113,C00012,P00049,2022-10-02,3,619.53
PU0000114,C00012,P00049,2022-05-26,2,447.98
PU0000115,C00012,P00052,2023-03-23,1,56.87
PU0000116,C00012,P00046,2021-09-03,4,1028.12
PU0000117,C00012,P00054,2023-02-13,1,83.31
PU0000118,C00012,P00010,2021-03-03,4,243.21
PU0000119,C00012,P00008,2021-04-11,3,290.95
PU0000120,C00012,P00016,2021-04-02,4,191.2
PU0000121,C00012,P00014,2023-01-25,2,94.0
PU0000122,C00013,P00033,2022-04-19,1,110.54
PU0000123,C00013,P00003,2022-01-07,4,139.82
PU0000124,C00013,P00011,2022-03-26,2,112.85
PU0000125,C00013,P00049,2021-03-17,2,432.35
PU0000126,C00013,P00013,2022-06-10,4,66.21
PU0000127,C00013,P00044,2021-08-06,1,225.26
PU0000128,C00013,P00036,2023-05-22,2,255.41
PU0000129,C00014,P00013,2023-10-09,1,15.94
PU0000130,C00014,P00002,2023-03-28,4,128.05
PU0000131,C00014,P00003,2022-02-08,4,140.29
PU0000132,C00014,P00036,2021-10-26,4,481.33
PU0000133,C00014,P00044,2022-12-31,2,463.45
PU0000134,C00014,P00036,2022-05-14,2,239.72
PU0000135,C00014,P00054,2023-08-13,1,77.54
PU0000136,C00014,P00007,2022-12-02,4,63.87
PU0000137,C00014,P00020,2022-01-11,1,137.65
PU0000138,C00014,P00048,2023-05-18,3,555.99
PU0000139,C00014,P00015,2022-02-17,3,141.15
PU0000140,C00014,P00023,2023-07-03,1,47.69
PU0000141,C00014,P00003,2021-11-10,2,78.13
PU0000142,C00014,P00021,2023-11-27,1,15.03
PU0000143,C00014,P00038,2023-11-27,2,168.37
PU0000144,C00015,P00055,2024-05-20,3,364.93
PU0000145,C00015,P00012,2025-02-24,4,70.78
PU0000146,C00015,P00034,2023-05-29,2,247.55
PU0000147,C00016,P00003,2023-08-10,3,109.34
PU0000148,C00016,P00012,2023-05-15,4,69.6
PU0000149,C00016,P00034,2021-04-10,1,126.93
PU0000150,C00016,P00004,2023-04-24,1,72.65
PU0000151,C00016,P00012,2021-03-16,2,31.79
PU0000152,C00016,P00008,2022-09-23,3,282.79
PU0000153,C00016,P00012,2023-04-15,2,32.25
PU0000154,C00016,P00011,2022-09-22,1,57.47
PU0000155,C00016,P00021,2021-07-25,4,69.52
PU0000156,C00016,P00029,2023-05-18,4,415.11
PU0000157,C00016,P00048,2022-03-08,2,405.29
PU0000158,C00016,P00021,2021-08-18,2,35.6
PU0000159,C00016,P00020,2021-07-29,3,378.12
PU0000160,C00016,P00001,2022-02-08,2,64.95
PU0000161,C00016,P00044,2021-03-21,4,779.58
PU0000162,C00016,P00006,2022-10-13,3,312.88
PU0000163,C00016,P00024,2022-07-11,2,318.33
PU0000164,C00017,P00021,2021-10-02,2,32.8
PU0000165,C00017,P00033,2022-10-23,2,241.03
PU0000166,C00017,P00052,2022-07-24,4,246.2
PU0000167,C00017,P00027,2023-03-15,2,160.21
PU0000168,C00017,P00042,2023-02-01,2,223.87
PU0000169,C00017,P00011,2023-10-06,2,123.7
PU0000170,C00018,P00023,2022-08-22,3,145.23
PU0000171,C00018,P00040,2022-02-15,1,264.49
PU0000172,C00018,P00047,2023-11-17,1,102.2
PU0000173,C00018,P00035,2022-07-11,2,253.84
PU0000174,C00018,P00018,2023-01-14,2,57.24
PU0000175,C00018,P00030,2023-03-17,1,184.57
PU0000176,C00018,P00052,2021-10-26,3,160.26
PU0000177,C00018,P00026,2021-10-13,1,65.06
PU0000178,C00019,P00025,2022-05-03,2,99.43
PU0000179,C00019,P00037,2022-05-29,3,232.17
PU0000180,C00019,P00054,2022-01-07,1,82.56
PU0000181,C00019,P00034,2022-04-18,1,130.74
PU0000182,C00019,P00048,2020-01-23,2,382.15
PU0000183,C00019,P00013,2020-12-22,1,18.32
PU0000184,C00019,P00040,2022-06-27,2,499.59
PU0000185,C00019,P00012,2022-07-04,3,46.05
PU0000186,C00020,P00013,2022-05-30,2,32.99
PU0000187,C00020,P00037,2023-07-22,2,133.83
PU0000188,C00020,P00012,2021-02-15,3,47.8
PU0000189,C00020,P00009,2022-07-28,3,349.48
PU0000190,C00020,P00005,2022-05-04,2,135.87
PU0000191,C00020,P00041,2022-12-24,2,52.51
PU0000192,C00020,P00042,2023-03-01,3,328.74
PU0000193,C00020,P00028,2022-03-22,3,457.54
PU0000194,C00020,P00048,2023-02-09,1,198.52
PU0000195,C00020,P00004,2021-02-10,4,261.25
PU0000196,C00020,P00037,2022-11-24,1,73.38
PU0000197,C00020,P00045,2021-09-24,1,41.99
PU0000198,C00020,P00040,2022-05-06,3,676.31
PU0000199,C00020,P00030,2021-08-07,3,516.88
PU0000200,C00020,P00016,2022-12-02,1,51.59
PU0000201,C00020,P00044,2023-07-27,2,393.13
PU0000202,C00020,P00048,2022-01-18,4,771.35
PU0000203,C00020,P00005,2023-09-07,4,292.77
PU0000204,C00021,P00005,2023-07-26,2,152.77
PU0000205,C00021,P00039,2023-12-09,1,176.64
PU0000206,C00021,P00014,2022-06-14,2,89.6
PU0000207,C00022,P00007,2023-07-15,1,15.31
PU0000208,C00023,P00010,2024-05-17,1,62.8
PU0000209,C00023,P00015,2024-08-15,1,44.89
PU0000210,C00023,P00051,2023-12-08,4,507.75
PU0000211,C00023,P00031,2025-01-03,4,256.22
PU0000212,C00023,P00025,2023-02-04,4,216.68
PU0000213,C00023,P00037,2025-02-21,1,66.62
PU0000214,C00023,P00018,2025-01-28,3,81.7
PU0000215,C00023,P00055,2023-02-15,1,125.23
PU0000216,C00023,P00029,2023-09-02,3,315.64
PU0000217,C00023,P00015,2022-08-01,2,79.33
PU0000218,C00023,P00052,2022-09-11,2,117.03
PU0000219,C00023,P00039,2024-11-14,2,398.9
PU0000220,C00023,P00027,2024-11-06,3,254.75
PU0000221,C00023,P00054,2025-01-24,2,148.21
PU0000222,C00023,P00038,2025-01-08,2,191.27
PU0000223,C00023,P00009,2024-10-17,3,402.36
PU0000224,C00023,P00049,2023-10-19,4,838.37
PU0000225,C00023,P00031,2023-02-28,3,190.7
PU0000226,C00023,P00048,2022-08-24,3,578.95
PU0000227,C00024,P00026,2021-11-14,1,62.15
PU0000228,C00024,P00015,2023-02-16,4,158.09
PU0000229,C00024,P00030,2024-03-09,4,639.24
PU0000230,C00024,P00049,2023-12-28,2,399.7
PU0000231,C00024,P00055,2023-05-24,1,138.92
PU0000232,C00024,P00021,2023-11-28,4,59.53
PU0000233,C00024,P00031,2023-07-25,3,217.26
PU0000234,C00024,P00020,2022-03-21,3,338.66
PU0000235,C00024,P00037,2024-02-29,3,217.59
PU0000236,C00024,P00037,2022-07-25,3,227.17
PU0000237,C00024,P00018,2022-03-20,2,54.83
PU0000238,C00024,P00020,2023-11-24,3,380.71
PU0000239,C00024,P00007,2023-09-26,4,71.23
PU0000240,C00024,P00034,2023-08-02,1,144.59
PU0000241,C00024,P00032,2021-10-07,1,94.39
PU0000242,C00024,P00005,2024-02-02,2,150.61
PU0000243,C00024,P00027,2022-11-13,4,380.15
PU0000244,C00025,P00001,2021-12-05,1,36.8
PU0000245,C00025,P00021,2020-05-10,1,17.76
PU0000246,C00025,P00017,2020-06-18,2,73.18
PU0000247,C00025,P00031,2022-07-09,1,60.79
PU0000248,C00025,P00043,2021-11-06,3,911.88
PU0000249,C00025,P00033,2022-01-23,2,214.87
PU0000250,C00025,P00029,2021-10-17,1,92.69
PU0000251,C00025,P00044,2021-01-01,3,579.73
PU0000252,C00026,P00007,2024-12-24,3,47.57
PU0000253,C00027,P00046,2025-07-01,4,1114.46
PU0000254,C00027,P00054,2022-11-16,4,318.99
PU0000255,C00027,P00021,2024-04-04,3,51.09
PU0000256,C00027,P00029,2022-11-10,4,396.42
PU0000257,C00027,P00045,2023-11-13,2,92.48
PU0000258,C00027,P00041,2024-04-26,3,71.71
PU0000259,C00027,P00045,2025-07-16,1,49.58
PU0000260,C00027,P00052,2024-09-05,1,53.41
PU0000261,C00027,P00055,2023-10-25,3,392.75
PU0000262,C00027,P00053,2025-06-21,1,159.79
PU0000263,C00027,P00017,2024-03-14,2,61.1
PU0000264,C00027,P00007,2023-02-17,3,47.62
PU0000265,C00027,P00020,2023-09-16,1,139.45
PU0000266,C00027,P00002,2024-05-19,2,64.55
PU0000267,C00027,P00017,2025-02-05,3,93.24
PU0000268,C00027,P00054,2024-11-23,3,225.58
PU0000269,C00028,P00040,2022-01-25,4,896.09
PU0000270,C00028,P00005,2022-09-23,4,263.76
PU0000271,C00028,P00029,2023-07-19,4,411.68
PU0000272,C00028,P00014,2023-03-09,2,96.23
PU0000273,C00029,P00012,2022-05-23,1,14.96
PU0000274,C00029,P00011,2023-06-28,3,186.26
PU0000275,C00029,P00015,2022-08-09,4,185.31
PU0000276,C00029,P00028,2024-05-02,4,546.04
PU0000277,C00029,P00022,2023-12-29,3,91.72
PU0000278,C00029,P00020,2022-09-11,1,133.83
PU0000279,C00029,P00001,2023-03-31,3,113.64
PU0000280,C00029,P00032,2024-06-09,3,263.68
PU0000281,C00029,P00018,2024-03-23,2,60.13
PU0000282,C00029,P00028,2023-04-08,3,473.26
PU0000283,C00029,P00029,2022-01-15,4,420.34
PU0000284,C00029,P00031,2023-11-30,2,138.45
PU0000285,C00029,P00018,2023-03-17,2,57.89
PU0000286,C00029,P00009,2023-10-08,2,275.7
PU0000287,C00029,P00051,2023-04-25,2,298.24
PU0000288,C00029,P00028,2022-04-01,4,540.4
PU0000289,C00029,P00025,2022-12-11,4,220.25
PU0000290,C00029,P00014,2022-03-24,3,138.96
PU0000291,C00029,P00020,2024-04-05,2,274.28
PU0000292,C00030,P00024,2021-06-03,1,156.42
PU0000293,C00030,P00031,2021-03-18,2,139.98
PU0000294,C00030,P00050,2023-01-17,2,66.03
PU0000295,C00030,P00039,2022-08-18,2,372.22
PU0000296,C00030,P00030,2021-02-14,2,317.41
PU0000297,C00030,P00007,2021-09-12,1,15.49
PU0000298,C00030,P00055,2023-07-25,3,425.58
PU0000299,C00030,P00050,2022-02-27,1,33.21
PU0000300,C00030,P00034,2022-05-08,3,431.76
PU0000301,C00030,P00050,2021-10-21,2,73.11
PU0000302,C00030,P00003,2021-05-31,2,66.03
PU0000303,C00030,P00003,2022-03-22,4,147.38
PU0000304,C00030,P00017,2022-04-01,1,33.5
PU0000305,C00030,P00004,2021-03-16,3,191.52
PU0000306,C00030,P00052,2022-08-06,3,178.0
PU0000307,C00031,P00009,2024-07-31,1,131.0
PU0000308,C00031,P00024,2023-11-29,4,607.41
PU0000309,C00031,P00035,2023-04-16,4,519.08
PU0000310,C00031,P00040,2024-06-18,2,516.97
PU0000311,C00031,P00044,2023-11-16,4,922.56
PU0000312,C00031,P00046,2024-11-23,1,284.32
PU0000313,C00031,P00017,2023-09-24,4,143.41
PU0000314,C00031,P00017,2024-09-08,1,31.75
PU0000315,C00031,P00002,2024-10-28,4,129.1
PU0000316,C00031,P00026,2024-01-16,3,215.77
PU0000317,C00032,P00035,2022-07-29,2,219.05
PU0000318,C00032,P00005,2021-08-03,3,191.04
PU0000319,C00032,P00041,2023-08-14,1,24.8
PU0000320,C00033,P00010,2022-08-28,1,56.0
PU0000321,C00033,P00016,2023-06-11,1,55.07
PU0000322,C00033,P00005,2023-09-09,3,203.67
PU0000323,C00033,P00053,2022-03-12,2,341.28
PU0000324,C00033,P00034,2023-04-11,4,576.06
PU0000325,C00033,P00045,2023-12-27,1,49.05
PU0000326,C00033,P00041,2022-11-30,4,97.35
PU0000327,C00033,P00034,2024-04-12,4,525.45
PU0000328,C00033,P00007,2023-03-14,1,16.43
PU0000329,C00033,P00006,2024-02-19,3,359.49
PU0000330,C00033,P00006,2022-02-22,2,200.8
PU0000331,C00033,P00020,2023-05-03,3,366.23
PU0000332,C00033,P00029,2023-04-16,1,97.82
PU0000333,C00034,P00022,2022-10-20,3,93.42
PU0000334,C00035,P00038,2023-08-29,1,80.31
PU0000335,C00035,P00051,2023-12-12,4,559.1
PU0000336,C00035,P00042,2024-05-16,4,404.99
PU0000337,C00035,P00023,2023-04-02,4,191.32
PU0000338,C00035,P00035,2024-04-21,4,488.26
PU0000339,C00035,P00013,2024-07-01,4,75.0
PU0000340,C00035,P00055,2022-11-20,1,138.41
PU0000341,C00035,P00020,2024-10-20,1,138.01
PU0000342,C00035,P00045,2025-02-28,2,99.19
PU0000343,C00035,P00042,2024-03-01,1,123.15
PU0000344,C00035,P00005,2023-12-04,4,278.65
PU0000345,C00035,P00015,2023-04-01,2,87.45
PU0000346,C00035,P00019,2025-02-10,4,162.08
PU0000347,C00035,P00051,2022-09-28,4,569.32
PU0000348,C00035,P00029,2023-08-27,3,344.73
PU0000349,C00035,P00011,2023-10-05,1,56.01
PU0000350,C00035,P00031,2022-11-30,2,148.93
PU0000351,C00035,P00036,2025-04-17,3,335.07
PU0000352,C00036,P00035,2022-02-22,3,388.21
PU0000353,C00037,P00025,2020-05-27,2,100.39
PU0000354,C00038,P00002,2020-07-29,2,64.43
PU0000355,C00038,P00010,2021-08-04,1,60.28
PU0000356,C00038,P00038,2020-07-08,3,254.05
PU0000357,C00038,P00012,2021-11-07,2,29.34
PU0000358,C00038,P00047,2022-04-18,4,382.41
PU0000359,C00038,P00010,2021-01-24,2,110.28
PU0000360,C00038,P00021,2020-12-12,2,33.88
PU0000361,C00038,P00026,2021-08-07,1,72.1
PU0000362,C00038,P00016,2020-09-14,4,194.02
PU0000363,C00038,P00052,2020-02-17,3,156.22
PU0000364,C00038,P00016,2020-11-07,3,162.73
PU0000365,C00038,P00054,2020-06-04,2,151.47
PU0000366,C00038,P00038,2020-06-23,1,80.1
PU0000367,C00038,P00008,2021-09-01,1,90.41
PU0000368,C00038,P00038,2021-06-17,4,317.76
PU0000369,C00038,P00021,2021-03-24,4,71.5
PU0000370,C00038,P00046,2020-02-01,2,570.76
PU0000371,C00038,P00048,2022-02-16,3,555.55
PU0000372,C00038,P00010,2022-03-08,2,126.9
PU0000373,C00039,P00054,2024-05-29,2,136.43
PU0000374,C00039,P00041,2024-12-10,1,27.89
PU0000375,C00039,P00028,2024-02-02,2,311.39
PU0000376,C00039,P00053,2023-07-10,1,181.66
PU0000377,C00039,P00027,2023-07-01,1,95.49
PU0000378,C00039,P00051,2025-02-21,3,391.75
PU0000379,C00039,P00008,2024-11-23,1,90.34
PU0000380,C00039,P00007,2023-01-08,4,68.22
PU0000381,C00039,P00046,2025-03-10,1,259.84
PU0000382,C00039,P00027,2023-04-05,3,251.81
PU0000383,C00039,P00052,2024-09-22,2,120.8
PU0000384,C00039,P00006,2024-08-25,2,214.58
PU0000385,C00039,P00002,2025-03-02,2,65.04
PU0000386,C00040,P00012,2024-06-07,1,16.24
PU0000387,C00040,P00024,2023-08-18,4,641.41
PU0000388,C00041,P00001,2020-05-31,4,126.24
PU0000389,C00041,P00041,2021-06-13,3,72.01
PU0000390,C00041,P00011,2020-09-07,2,117.81
PU0000391,C00041,P00045,2022-08-14,1,50.08
PU0000392,C00041,P00010,2021-08-04,4,237.24
PU0000393,C00041,P00016,2022-10-31,4,187.14
PU0000394,C00041,P00051,2022-09-11,3,455.91
PU0000395,C00041,P00034,2022-03-24,1,122.94
PU0000396,C00041,P00051,2021-09-06,3,383.31
PU0000397,C00041,P00013,2021-03-04,3,54.12
PU0000398,C00041,P00039,2020-11-27,2,404.03
PU0000399,C00041,P00007,2020-12-15,3,44.31
PU0000400,C00041,P00007,2020-03-24,2,34.74
PU0000401,C00041,P00048,2021-09-17,2,351.21
PU0000402,C00041,P00007,2022-08-20,4,64.43
PU0000403,C00041,P00053,2021-12-11,4,675.52
PU0000404,C00041,P00001,2020-08-10,4,153.78
PU0000405,C00042,P00055,2023-07-10,4,520.25
PU0000406,C00042,P00001,2022-06-01,4,142.79
PU0000407,C00042,P00024,2023-03-22,1,176.66
PU0000408,C00042,P00053,2022-07-02,4,767.72
PU0000409,C00043,P00050,2023-04-03,1,36.12
PU0000410,C00043,P00002,2022-01-15,4,129.42
PU0000411,C00043,P00039,2023-07-07,3,600.24
PU0000412,C00043,P00026,2023-08-14,1,60.77
PU0000413,C00043,P00031,2022-08-25,1,68.44
PU0000414,C00043,P00049,2022-04-05,2,416.24
PU0000415,C00043,P00046,2024-06-22,3,793.05
PU0000416,C00043,P00039,2024-08-05,3,504.12
PU0000417,C00043,P00002,2024-01-19,1,31.62
PU0000418,C00043,P00037,2023-08-11,4,293.64
PU0000419,C00043,P00029,2023-01-20,2,210.74
PU0000420,C00043,P00035,2023-01-18,1,133.68
PU0000421,C00043,P00032,2022-03-09,3,283.43
PU0000422,C00043,P00045,2022-12-22,1,45.76
PU0000423,C00043,P00036,2022-04-04,2,242.79
PU0000424,C00043,P00029,2024-06-05,2,197.65
PU0000425,C00043,P00015,2023-01-19,4,163.83
PU0000426,C00043,P00015,2024-05-04,4,170.24
PU0000427,C00044,P00044,2023-07-03,4,763.95
PU0000428,C00044,P00003,2024-08-01,2,78.74
PU0000429,C00044,P00038,2024-01-17,2,158.94
PU0000430,C00044,P00020,2024-06-06,4,448.46
PU0000431,C00044,P00038,2024-02-18,4,356.41
PU0000432,C00044,P00033,2023-02-14,4,399.76
PU0000433,C00044,P00044,2023-02-20,4,821.32
PU0000434,C00044,P00005,2025-05-29,1,64.05
PU0000435,C00044,P00032,2023-08-30,2,175.37
PU0000436,C00044,P00050,2023-06-06,1,32.61
PU0000437,C00044,P00030,2025-05-07,2,346.55
PU0000438,C00044,P00003,2024-01-18,4,149.58
PU0000439,C00044,P00013,2024-11-26,4,74.53
PU0000440,C00044,P00023,2023-12-12,2,96.33
PU0000441,C00044,P00041,2023-05-05,4,95.67
PU0000442,C00044,P00047,2023-03-24,4,371.14
PU0000443,C00044,P00046,2024-06-17,2,604.98
PU0000444,C00045,P00043,2022-11-29,1,306.17
PU0000445,C00045,P00030,2022-01-21,3,524.11
PU0000446,C00045,P00055,2024-02-24,1,141.1
PU0000447,C00045,P00024,2023-05-30,2,309.23
PU0000448,C00045,P00049,2024-01-30,4,886.75
PU0000449,C00045,P00002,2023-04-18,3,91.95
PU0000450,C00045,P00018,2023-07-01,4,119.91
PU0000451,C00045,P00046,2023-05-21,2,578.76
PU0000452,C00045,P00030,2023-07-30,3,481.79
PU0000453,C00045,P00030,2022-08-02,2,364.4
PU0000454,C00046,P00051,2022-09-21,4,519.14
PU0000455,C00046,P00005,2024-04-10,3,237.14
PU0000456,C00046,P00019,2023-12-16,3,128.13
PU0000457,C00046,P00026,2022-01-15,2,132.37
PU0000458,C00046,P00050,2023-11-01,1,35.68
PU0000459,C00046,P00041,2024-02-28,3,69.23
PU0000460,C00046,P00033,2022-12-21,4,409.81
PU0000461,C00046,P00026,2024-05-01,4,274.99
PU0000462,C00046,P00042,2023-12-21,1,105.53
PU0000463,C00047,P00022,2024-06-25,1,32.6
PU0000464,C00047,P00043,2023-12-24,1,325.27
PU0000465,C00047,P00050,2022-02-18,2,63.73
PU0000466,C00047,P00013,2023-04-28,1,17.32
PU0000467,C00047,P00001,2023-11-16,2,73.46
PU0000468,C00048,P00046,2023-02-06,2,612.63
PU0000469,C00048,P00018,2025-06-28,1,27.54
PU0000470,C00048,P00010,2025-02-10,3,189.12
PU0000471,C00048,P00006,2025-08-18,2,222.18
PU0000472,C00048,P00026,2025-07-10,4,258.44
PU0000473,C00048,P00022,2024-07-03,3,89.39
PU0000474,C00049,P00050,2024-05-11,1,35.39
PU0000475,C00049,P00010,2024-02-01,3,189.01
PU0000476,C00049,P00015,2022-11-09,2,80.71
PU0000477,C00049,P00034,2022-11-08,2,265.34
PU0000478,C00049,P00038,2023-01-27,3,289.77
PU0000479,C00049,P00006,2024-10-16,4,427.91
PU0000480,C00049,P00019,2023-08-07,2,69.19
PU0000481,C00049,P00052,2023-12-22,1,52.18
PU0000482,C00050,P00005,2021-12-09,3,237.82
PU0000483,C00050,P00029,2023-07-25,4,454.66
PU0000484,C00050,P00002,2022-05-22,1,34.42
PU0000485,C00050,P00024,2021-11-09,2,313.93
PU0000486,C00051,P00029,2024-04-09,4,435.93
PU0000487,C00051,P00031,2023-03-29,1,74.5
PU0000488,C00051,P00010,2024-04-23,4,226.6
PU0000489,C00051,P00051,2023-10-31,4,626.67
PU0000490,C00051,P00038,2023-03-18,3,267.64
PU0000491,C00051,P00029,2022-04-04,2,194.46
PU0000492,C00051,P00025,2022-07-22,1,55.51
PU0000493,C00051,P00054,2024-01-27,2,155.93
PU0000494,C00051,P00023,2022-02-17,1,47.72
PU0000495,C00051,P00027,2022-09-18,3,264.59
PU0000496,C00051,P00044,2022-09-12,4,771.07
PU0000497,C00051,P00040,2023-02-09,4,1065.81
PU0000498,C00051,P00039,2023-09-07,2,392.14
PU0000499,C00051,P00022,2022-04-24,2,63.64
PU0000500,C00052,P00005,2023-06-25,3,230.91
PU0000501,C00052,P00024,2024-05-06,1,173.85
PU0000502,C00052,P00046,2023-08-30,3,742.55
PU0000503,C00052,P00031,2023-03-29,3,212.8
PU0000504,C00052,P00040,2023-07-01,3,679.62
PU0000505,C00052,P00039,2022-01-31,1,190.32
PU0000506,C00052,P00052,2024-05-20,1,58.71
PU0000507,C00052,P00038,2023-08-13,2,189.4
PU0000508,C00052,P00032,2021-11-17,2,183.13
PU0000509,C00052,P00003,2023-10-29,1,39.38
PU0000510,C00052,P00013,2024-04-24,4,67.32
PU0000511,C00053,P00035,2022-09-07,2,268.74
PU0000512,C00053,P00022,2024-02-28,1,32.58
PU0000513,C00053,P00054,2022-11-01,4,270.76
PU0000514,C00053,P00031,2021-12-18,4,255.18
PU0000515,C00053,P00033,2022-04-28,4,435.87
PU0000516,C00053,P00016,2023-02-20,4,201.94
